Url translation;fra;bbj
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;C’était vraiment dur ma mère me donnait souvent de l’argent en cachette pour me soutenir;A lə̂ cəŋtə bə́ ntʉɔɔ́ mâ á lə̂ bə́ shə́mcwə dʉ́mnyə́ há ŋkáp bə̂m
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;3 ans plus tard Christian a été embauché dans une grande entreprise de la place et nous avons aménagé dans une vraie maison;Guʼ tá twɔ́k pú lə̂ é ntʉ́m taʼ tsʉʼfaʼ gwyə́ pyə é ghɔ̂ ŋkó ntʉ́m muʼ paʼ pəpúŋ
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Un an après je suis tombé enceinte du troisième enfant Christian est allé demander ma main à ma famille et on lui a remis la liste de la dote;Taʼ guʼ pîŋ nə́ cyə n fə̂ŋ mú batə yaə́tá Christian ghɔ̂ ŋkóʼtə́ dyə́ wə́ pyə tə pú ghɔ̂m tsə́ tsyə é gɔ ghə áá
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Après la naissance du troisième enfant il a commencé à découcher prétextant que c’était pour le travail il partait fréquemment en mission et pour plusieurs mois;N də cwə̌tə dzə́ mú batə yaə́tá e tóʼ nə́ piŋ bə́ núŋ á də́ kwɔ́p gaə́ à duʼ nə̂ faʼ e lə̂ bə́ gɔ́ faʼtə́m mtʉ̂mmtʉ̌m
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Il ne me parlait plus de la dot ni du mariage quand j’abordais le sujet ça se terminait en dispute;E lə píŋ bə́ gɔ́nnwə nə́ nə́ ghɔ sʉ́ʼ á ba nə̂ lǒmdyə́ m bə́ ŋkamnwə nə́ a zhʉ́ â shɛ
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Au bout d’un moment il a fini par me doter;A tí nə̂ miŋ e ghɔ̂ sʉ́ʼ á
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Un jour je faisais le ménage dans son bureau à la maison je suis tombée sur un acte de mariage;N də tî múʼ tyə́ʼ bə́ nyáp tsʉʼ dyə̂faʼ é pə́ láʼ bvʉ́ nə́ taʼ ŋwaʼnyə lɔ̌mdyə́ 
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;C’était celui de Christian et d’une autre femme la date de célébration correspondait à une période où il était en mission;A pə̂ yə́ Christian pû muʼ mjwǐ tyə́ʼdzʉ́ pə́ nə́ bə́ wə́ bə́mtə́ púa muʼ nə́ mtyə̌ʼ myə e lə̌ tə́m lə
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Christian avait épousé une autre femme et ils avaient signés monogamie;Bə Christian kô múʼ mjwǐ tə pú é pîŋ kwimjwǐ 
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;J’ai eu l’impression que mon monde s’écroulait;N də yǔʼ ŋkwɛ gaə́ guŋ dəmcǎʼ vʉ də̌m m̀ 
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Quand il est rentré du travail ce soir -là il m’a trouvé dans notre chambre l’acte de mariage en main;E lə phə̌nyə́ faʼ tyə́ʼ ó jɔ́ á twɔ̂ʼdyə̌ pyə é púa ŋwaʼnyə pú m̀
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Il est directement passé aux aveux;E wúŋ ntóʼ nə́ pîŋ nwə̀
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Il m’a dit être en couple avec la fille depuis 5 ans et qu’ils ont des jumelles;E síŋ á gaə́ â bə pú taʼ mjwǐ lɔ́mdyə́ tə fə́ guʼ 5 tə bə pú é tsə́ mhák
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Qu’après tout ce que nous avons traversé ensemble et après tout ce que j’ai fait pour lui il ne savait pas comment m’en parler;Gaə́ nə́ sîŋ â bə á cyə é dú nə́ dəŋ yə pyə é nə shwə́ ba dəŋ ywə́yə gaə gə nə́ é áá 
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;Je suis totalement anéantie je ne sais pas quoi faire tellement j’ai mal;Gaə̌ sî bə fɔ̌k mi nə́ m nwə̌ wə́ jɛ́ á tə ŋkə́m kwé
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;En dépit de toute la douleur qu’il m’inflige je ne veux pas le perdre;Ba mpáʼ é wə́ faʼ bɔ̂kbɔ́k nwə yə nə́ m á ŋ ka kúŋ nə́ pî é
https://www.camerounweb.com/CameroonHomePage/features/Je-faisais-le-m-nage-la-maison-et-je-suis-tomb-e-sur-un-acte-de-mariage-617245.;"Je vous en prie aidez -moi avec conseils""";Sə́sô po hâ yaə ntɔ̌k
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Opinions of Wednesday8 September 2021;Mcuŋdzʉ́ Mídəlewɔ̂k  tyə̂ʼ 8 nə́ Ŋkə̂mbiyɛ́ 2021
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;CamerounWeb vous propose cette tribune du journaliste politique exilé en Europe;Kaməlúmwɛb wə́ há mcuŋ mə́kwɛ́ nwə khəkhə yəŋ yə pú kə zhəŋ é Eropə
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;"-""Je l’ai dit hier je le martèle de nouveau";"""Ŋ kə yó gɔ́mḿ gaə̌ nə́ŋ bíŋ bə́ wə́ bhə́nyə́ nə́ tyə́ʼɔ"""
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Quand dans un pays les journalistes du moins ceux qui prétendent l’être n’ont plus de compas moral ce pays est à la dérive;Cweyə â bə́ ntʉ́m taʼ guŋ pəmə́kwɛ́ kwaʼ pɔ pyə wâp sɛ́ gaə́ wâp yá á ka píŋ gə hwítə o zhyə́ gaə́ guŋ bɔ̌ zhʉ́m
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;La méchanceté provient du fait que de son vivant ce journal n’a pas écrit une seule ligne sur la jeune Mirabelle dont la vie a été détruite devant nous;Sə̂tʉ̂m  du nə́páʼ tə fə́ páʼ máp e lə tsə̌ é á mcuŋbvəvə bɔ̂ lǎm ŋwáʼ bǎ taʼ ŋkɛ mcuŋ nə́ Mirabelle yə pú lə pɔ̌ptə́ é dzə̌ pə lə
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Son corps bafoué souillé et humiliée;Pú táknyə pfə̂ é nə́ jɔ́ góʼ
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Jamais ce journal ne s’est interrogé sur sa mission de protéger la jeunesse;Mcuŋbvəvə bɔ̂ lǎm gɔ́m gaə́ e ghə páʼá lə́ pɔ́mtə́ ŋkɛ̂mo kílə́
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Mais après le décès de Mirabelle dans des conditions rocambolesques ils lui trouvent des responsables;Daʼgaə́ Mirabelle lěʼ cwə́tə pfʉ́ vʉ̂bʉm ghɔ̂m pɔ pyə wáp jwə́ é lə
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;La décence aurait voulu qu’il se taise;A lə̂ bə́ wə́ hə́ŋ gaə́ wáp lɛ́tə́
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Un peu comme ses autres confrères qui ont gardé le silence sur les malheurs de cette jeune dame;Mpáʼ shə́ mfə̂ pɔ́kpə pyə wáp lə lɛ̌tə́ nə́ bo mjwǐ yəŋ lə
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Dans ce pays l’indécence n’a plus de limites;Pû bə́ ntʉ́m guŋ yəŋ gə́ nwə á tíŋ tíŋ e
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Puis il y a le mépris de classe;Nə̂ ghə wǎk mo pə́ nə́ teʼ
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Il est certain que si Mirabelle n’était pas issu d’un milieu extrêmement pauvre non seulement elle aurait pu parler mais on lui aurait fait parler de son vivant;Ǎ nyə́nyɔ́ gaə́ Mirabelle latə pêʼ bə təcoʼnə̂tsʉʼ  â bə e lə nə́ pfʉ̌ bə é ghɔmnwə kə pú ghə̂ e ghɔ̂mnwə lə̂ 
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Ceci me renvoie au séminal article de Gayatry Spivak: est -ce que les subalternes peuvent parler ?;Ǎ wə́ gə̂ ŋ kámtə mghɔm sɛ̂nwə Gayatry Spivak yə̌ŋ: Pə́ pətəcoʼnə̂tsʉʼ ghɔ̂mnwə a?
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Mirabelle est morte et ils parlent pour elle;Mirabelle lě pfʉ́ tə wáp wə́ gɔ́m nə̂  yə́ tsʉʼ
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Car en réalité Mirabelle n’avait jamais existé à leurs yeux;Nə̂kə́lə́ kwaʼ nyə́nyɔ́ Mirabelle lǎm bə́ wə́ nə́ yap nə́ yɔ̂
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Mais pour finir d’un point de vue personnel Delor Magellain Kamseu Kamdem ne peut qu’inspirer mépris;Daʼgaə́ nə́ yaə  nə́yɔ̂ pú ghə nə́ wâk Delor Magellain Kamseu Kamdem wǎk
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Pour la petite histoire lorsque son organisation pour La Défense des consommateurs était encore inconnue du public nous fûmes les premiers à le défendre à l’époque;Cwəjʉ̂m ŋkámtə́ wɔkpə gaə́ cwəyə cúʼtə pəpɔ́mtə́ pətsʉ́tsə́ lə̂ bə pú ka wɛ́ jyə́ á wɔ́k né pə́ pədəŋdzə nə́ tə́mtə é cwə ó
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Il avait organisé une grève de la faim devant l’ARSEL sur les prix de l’électricité;A lə̂ bə é kam taʼ laʼtəlúŋ jiŋkǔʼ dzə ARSEL nə́ ŋkâpmɔ̌k
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;J’étais journaliste à Mutations;N də̂ bə́ mə́kwɛ́ Mutasyɔ̂ŋ
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Tous les jours j’écrivais un point sur sa situation mais j’allais le rendre visite juste au carrefour Bastos;N də̂ ŋwaʼ mcuŋ nə́ é guŋ mtyə́ʼ awɛ́ daʼgaə́ bə́ gɔ́ tsʉʼ yə e lə̂ bə́ nə́ á pə́ tamtə́jyə Bastos
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;Richard Makon était présent à cette époque;Richard Makon lə̌ sí cwə bɔ́ɔ́
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;C’était avant qu’il n’abandonne ses engagements pour se ranger vers les luttes alimentaires;A lə̂ bə́ tə́ e cwə́ də nə́ pə̂ dóʼ nə̂ nwə tsə́tsʉ́
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;On ne peut pas bâtir une société dans laquelle les individus n’ont aucune conviction aucune conscience;Pə́ pú lə kwə́ guŋ ntʉɔ tsʉ́ʼ yə pɔmnə̌ŋ nə́ bə wáp ka ghə́ tʉ́m wáp lə zhyə́ ywə́ yə wâp gə lə
https://www.camerounweb.com/CameroonHomePage/features/D-c-s-de-Mirabelle-Boris-Bertolt-donne-une-le-on-d-thique-au-journal-L-info-Chaud-617545.;"N’ont pas de compas moral et d’éthique""";Tǝ zhyǝ̌ mku' tǝ zhyǝ̌ pá' nwǝ̂ giŋ áá
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Opinions of Thursday9 September 2021;Mcuŋdzʉ́ Tɔsədɛ̂ tyə̂ʼ 9 nə́ Ŋkə̂mbiyɛ́ 2021
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Une dame s'est confiée à la coach Binku sur une situation qu'elle vit dans son foyer;Taʼ mə̂jwǐ kə kyə̌ʼ tʉ̂m tsyə́ bî Binku nə́ nwə ntʉ́m tuŋdyə̂ e
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Elle a découvert dans le téléphone de sa fille de 16 ans des photos nues d'elle qu'elle a envoyé à un jeune prêtre à qui elle a fait des avances;Bə é yɔ́ mfoto mû e ŋkaʼ 16 tə dzə́ də̌m é ntʉ́m ŋkhətʉɔ́ bə é cya bí taʼ səm ŋkâmsǐ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Après hésitation le prêtre a accepté ses avances et ils ont commencé à sortir ensemble alors qu'elle a un copain officiel qui l'a déviergé;Ŋkǎmsí náʼ jʉ́zhʉ́ʼ dí bíŋ nwəmsó tə pú é pə́ ntə́m tə́ bə mú ghə sO e yə mbɛ̂ yə gaə̌ zhyə́ é tə bə é tú  é áá
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Bonjour Binkù j'espère que tu vas bien ?;Ǒ tí lə́ Binku gaə̌ kwɛ gaə́ ó pə̂ ntʉɔ̀
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Je suis une abonnée en sous -marin et j'aimerais avoir tes conseils et ceux de tes abonnées;Gaə̂ bə́ abonê púa tsô dyǝ' gaə̌ wə́ shə́ŋ ntɔ́k mǔ ba myə́ pəabonê pǔ 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;En fait ma fille a 16ans et fait la classe de seconde dans un établissement catholique de la ville de Douala;Mû a yə mjwǐ ghə ŋkaʼ 16 bə́ ŋkó dyə́ tɔ nə́ taʼ səkú katəlɔ́ Dwǎlá
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Elle a des résultats moyens et à la maison est plutôt posée et en général respectueuse;E ntəla láʼ nə́ŋ bə́ tsʉʼ səkú bə́ byányə́ bíŋ bə́ gə́ mkuʼ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Nous avons parfois des prises de tête comme toutes mère et fille mais rien de bien grave;pyə ê bə̂ shə́mcwə náʼ shɔ́ktə́ pâʼ bǎyá má pú mû e lə daʼgaə́ a lə ghɔ́ sàk
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;J'ai découvert qu'elle fréquente un jeune prêtre de son établissement en plus d'avoir son copain qu’elle m'a déjà présenté;Gaə̂ yɔ́ e pə́ wə́ bə́ pú taʼ səm ŋkâmsǐ səkú pú kwíʼ nə́ sô e yə é tsə̂m phə̌ é bə̂m lə
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Vraiment Binku je fais tout ce que je peux pour lui prodiguer des conseils et être une bonne confidente;Ŋ ka zhyə́ m Binku gaə̂ ntê yaə guŋ gʉ́ʼ awɛ́ há ntɔ́k bí í nə́ŋ bə́ dʉ́m mnwə mɔ́kpyə é 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;L'an dernier elle m'a avoué avoir perdu sa virginité avec son copain;A lə guʼ pôʼ e píŋ á bə̂m gaə́ sô é tú é 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Ça m’a beaucoup attristée car je souhaitais de tout cœur qu’elle la garde jusqu’à l'université au plus tôt;A lə pɔ̌k á teʼ nə̂kə́lə́ n də̂ bə́ wə́ shə́ŋ gaə́ é cwə́ á tə pú ntú é tə ŋkə́m bǎ daʼ dəŋdzə guʼ səkú cyə̀gwɛ̀ 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Je la conseillais sur les relations sexuelles et tout bien que ces sujets sont très embarrassants je m’efforçais et continue d’en parler;N də̂ bə́ há ntɔ́k bí í nə́ nwə nuŋmò a pə́ shyətə á pəpúŋ ba mpáʼ tiŋ nwə yə̂ŋ bə̂ shə́mcwə hábɔ̂k â m bə́ nté â gʉ̌ʼ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Quand j'ai découvert sa relation avec ce religieux j'ai failli péter un câble mais je me suis ressaisie;N kə cwə̌tə jyə́ gaə́ wáppú ŋkâmsǐ wə́ bə́ zhʉ́zhʉ́m daʼgaə́ ŋkíp á nə̂ à 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;J'ai enregistré leurs échanges dans mon téléphone;Gaə̌ ləgi kwínyə́ghɔm cəcə̌ pú ntʉ́m ŋkhətʉɔ̂ à
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;J'ai pris un grand verre d’eau avant de me lancer dans la lecture;N kə nwə̂ taʼ gɔp shyə tə́ ntóʼ nə́ kê 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Ce que j'ai découvert m'a fendu le cœur;Ywə́ yə ŋ kə yɔ́ ntʉ́m ó á kə yɛ́ á tə shóʼ pipi tsaə̌
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Non seulement elle sort avec lui mais surtout c’est elle qui lui a fait des avances;E tə́m pú é a lə kûʼ yʉ́ nê maʼ  mrnɔ́m gəfə bí í
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Elle entre en contact avec lui en novembre 2020 c'est elle qui le relançait à chaque fois parfois tard dans la nuit;Ê ntóʼ nə́ kê é nə́ Fə̂nam guʼ 2020 yʉ́ né pə́ shwə́ lə́ maʼ mghɔm bí í shə́mcwə mə́têŋmtsʉ̌ʼ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Il lisait et répondait généralement le lendemainAu départ quand vous les lisez on sent qu’il n’était pas intéressé;E pə́ ŋké dóʼnyə́ nə́ hǎ piŋghɔm bə dzʉ̌lɔ́ 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Tout a déclenché quand elle lui a envoyé une photo d'elle en sous -vêtements ( c'était en décembre et je ne sais qui lui a offert cet ensemble);Guŋ e awɛ́ lə̂ ŋkam kwaʼ tyə́ʼ yə e lə cya fóto é bí daʼ púa mtɔkdzə́ nə́ é ( taʼ kǐŋdzə́ ŋkaʼ pú sîsǐ bə ŋ ka yə̂ tsʉʼ yə a fə́ nə́ áá)
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Il a alors commencé à être plus présent et dans leurs échanges elle faisait monter son excitation;E tóʼ nə́ piŋ bə́ níŋ thə̂ é nə́ é wáp pə́ kwínyə́ e ghə̂ a lə̂ mɔ́k nə́ é 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Ils se voient en janvier chez un de ses ( le prêtre) amis;Wáp tí jɔtə́ nə́ Ŋkə̂mghě wə́ muʼ nə́ (mkǎmsi) sô e
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Leur relation se poursuit mais le prêtre tient toujours à la discrétion;Wáppú é bə́ á thə́ daʼgaə́ ŋkâmsî dʉmtʉm
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Parfois elle lui envoie des images intimes alors qu’il n'a rien demandé;É bə̂ shə́mcwə shyá foto é bí nə kwa dzə́ tə e hə̂ŋ bə hə̌ŋ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Et ce qui m'a marqué c’est quand il lui a dit un jour «tu n'as pas toujours besoin de m’envoyer ces photos tu es très belle je confirme »;"Ywə́ yə gaə jɔ́ á pə́ gaə́ e lə múʼ tyə́ʼ gɔ́m bí í gaə: ""O ka ghə́ nə́ pə̂ shyá mfoto mɔ bə̂m á bə ó twa teʼ gaə̌ zhyə́"""
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Elle s’est senti gênée et est entrée en conflit bouder et revenir encore toute seule;A pɔ́k é e ghə̂ lâʼ nə́ŋ gə́ biŋ dɛ́tə́ pə̂ dǒ é 
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Jusqu’à présent ils sortent ensemble et se voient toujours dans des endroits insolites;tə ntám á cwəlɔ wâp ntə́m nə́ŋ bə́ júʼtə́ nə́ mtsʉʼ pəpúŋ
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Le prêtre en question est en début trentaine;Ŋkâmsǐ bɔ̀ bə́ wə́ gə́ ŋkaʼ mǔntá
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Devant la loi il est entièrement coupable;Pú pə̂ dé nə́ mcoʼ bə é cəŋtə hɔ́ɔ́
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Si j'en parle à son père il fera la prison direct ou dans le meilleur des cas il sera excommunié;Ŋ gɔ̂m bí táp e bə é gɔ níŋ é cɛ́ kə bə pú gɔ tɔk dzə́ ŋkâmsǐ nə́ é lə̂
https://www.camerounweb.com/CameroonHomePage/features/Ma-fille-de-16-ans-sort-avec-un-pr-tre-des-images-d-couvertes-dans-son-t-l-phone-m-ont-choqu-617767.;Dans cette histoire les responsabilités sont partagées;Ǎ ntʉ́m ô bə bâwaə̌lə́ hɔ̀
